Item,Factor,Original Loading,Bootstrap Mean,Bootstrap SD,CI 2.5%,CI 97.5%,Covers Zero
C1,F1,-0.079,-0.0897,0.0809,-0.2759,0.0391,True
C1,F2,-0.0838,-0.1087,0.0968,-0.3051,0.0995,True
C1,F3,-0.1459,-0.1751,0.083,-0.3763,-0.0285,False
C1,F4,0.4964,0.6463,0.1563,0.3767,0.9457,False
C1,F5,-0.0584,-0.0749,0.0889,-0.2566,0.1095,True
C1,F6,-0.1159,-0.1412,0.1154,-0.4144,0.0628,True
C2,F1,-0.0594,-0.024,0.0935,-0.2024,0.1722,True
C2,F2,0.8987,0.7873,0.1689,0.3783,0.9947,False
C2,F3,-0.0832,-0.0725,0.1352,-0.3498,0.1712,True
C2,F4,-0.0381,-0.0178,0.1196,-0.2615,0.1973,True
C2,F5,0.0615,0.0765,0.1513,-0.2024,0.3794,True
C2,F6,0.0713,0.0835,0.1406,-0.1642,0.3787,True
C3,F1,0.1603,0.1814,0.2196,-0.2086,0.6412,True
C3,F2,0.4712,0.535,0.2461,-0.0322,0.9308,True
C3,F3,0.1503,0.151,0.154,-0.1516,0.4729,True
C3,F4,0.1847,0.1271,0.1537,-0.1333,0.4655,True
C3,F5,0.0243,0.0131,0.1886,-0.3797,0.3711,True
C3,F6,-0.1655,-0.1771,0.2198,-0.6366,0.2811,True
C4,F1,-0.1105,-0.1084,0.1185,-0.3353,0.1404,True
C4,F2,0.3783,0.3801,0.1415,0.0919,0.6541,False
C4,F3,0.0318,0.0357,0.1109,-0.1931,0.2352,True
C4,F4,0.4893,0.5636,0.1063,0.3435,0.7645,False
C4,F5,0.2437,0.2715,0.1574,-0.0265,0.6084,True
C4,F6,0.0447,0.0367,0.1599,-0.2886,0.3523,True
C6,F1,-0.0143,-0.0306,0.1153,-0.2379,0.1982,True
C6,F2,0.1354,0.1234,0.1606,-0.1571,0.4437,True
C6,F3,0.1164,0.0704,0.1012,-0.1325,0.2543,True
C6,F4,0.7667,0.7378,0.1243,0.4964,0.9533,False
C6,F5,-0.1042,-0.1231,0.1131,-0.3369,0.1187,True
C6,F6,0.0676,0.0217,0.138,-0.2686,0.2592,True
C8,F1,-0.1357,-0.1516,0.1035,-0.3779,0.0402,True
C8,F2,-0.1238,-0.1188,0.1248,-0.3952,0.1121,True
C8,F3,-0.3109,-0.3915,0.1608,-0.7774,-0.1434,False
C8,F4,-0.11,-0.1612,0.0969,-0.3777,0.0101,True
C8,F5,0.0962,0.1009,0.1887,-0.2114,0.4754,True
C8,F6,0.2262,0.2708,0.2082,-0.0781,0.7931,True
C11,F1,0.0397,0.027,0.1399,-0.2524,0.2953,True
C11,F2,-0.0106,0.0082,0.1094,-0.1907,0.2432,True
C11,F3,-0.0822,-0.1075,0.1277,-0.3911,0.1118,True
C11,F4,-0.001,-0.0639,0.1048,-0.2638,0.1307,True
C11,F5,-0.0388,-0.0309,0.1302,-0.2832,0.2486,True
C11,F6,1.0,0.7747,0.2357,0.2748,1.001,False
C12,F1,-0.2811,-0.2603,0.088,-0.4421,-0.1036,False
C12,F2,-0.1367,-0.1489,0.0579,-0.2688,-0.0438,False
C12,F3,0.3562,0.3757,0.1319,0.1361,0.6624,False
C12,F4,-0.2548,-0.2183,0.069,-0.363,-0.0905,False
C12,F5,-0.3094,-0.3002,0.1225,-0.5706,-0.0869,False
C12,F6,0.0706,0.0766,0.1532,-0.2238,0.3534,True
C13,F1,0.4674,0.5261,0.1926,0.0302,0.8371,False
C13,F2,-0.1863,-0.2323,0.1197,-0.4689,0.0414,True
C13,F3,0.0435,0.0708,0.1241,-0.2121,0.2867,True
C13,F4,-0.1321,-0.0902,0.0974,-0.291,0.1052,True
C13,F5,0.2695,0.3419,0.1777,-0.0055,0.7178,True
C13,F6,0.1371,0.1665,0.2063,-0.2624,0.5883,True
C14,F1,0.0052,0.0092,0.149,-0.3021,0.2899,True
C14,F2,0.0991,0.1027,0.1477,-0.2266,0.386,True
C14,F3,0.0852,0.0816,0.1169,-0.1634,0.2952,True
C14,F4,-0.0914,-0.1034,0.0786,-0.2524,0.0585,True
C14,F5,0.9353,0.7924,0.1794,0.3683,0.9904,False
C14,F6,-0.0187,-0.0037,0.1272,-0.2505,0.26,True
C15,F1,0.6499,0.655,0.199,0.1887,0.9537,False
C15,F2,-0.0481,-0.0262,0.1256,-0.2285,0.2618,True
C15,F3,0.1402,0.1363,0.1283,-0.1203,0.4004,True
C15,F4,0.0065,-0.0217,0.1282,-0.2168,0.2575,True
C15,F5,0.0002,-0.0181,0.152,-0.3368,0.2719,True
C15,F6,-0.1143,-0.1346,0.1931,-0.5077,0.2559,True
C16,F1,0.0997,0.099,0.0861,-0.0815,0.2623,True
C16,F2,-0.0042,-0.0042,0.1005,-0.205,0.203,True
C16,F3,0.974,0.8578,0.125,0.5572,0.9894,False
C16,F4,-0.0693,-0.1083,0.0836,-0.2814,0.0451,True
C16,F5,0.2009,0.1876,0.1049,-0.0662,0.3667,True
C16,F6,-0.0451,-0.0778,0.1289,-0.3562,0.1393,True
C17,F1,0.7943,0.7576,0.1287,0.4629,0.9616,False
C17,F2,0.2675,0.2737,0.1664,-0.0304,0.6029,True
C17,F3,-0.0493,-0.0328,0.1089,-0.2522,0.1705,True
C17,F4,-0.1142,-0.0929,0.0853,-0.2434,0.0944,True
C17,F5,-0.1022,-0.0915,0.1138,-0.309,0.1484,True
C17,F6,0.0621,0.0721,0.126,-0.17,0.3294,True
