Item,Factor,Original Loading,Bootstrap Mean,Bootstrap SD,CI 2.5%,CI 97.5%,Covers Zero
C1,F1,1.1365,1.1247,0.0265,1.0621,1.1645,False
C1,F2,-0.5121,-0.4693,0.0615,-0.5805,-0.3478,False
C1,F3,-0.5749,-0.5549,0.0368,-0.6163,-0.4687,False
C1,F4,-0.2521,-0.2079,0.0898,-0.3112,0.0339,True
C1,F5,-0.4002,-0.3962,0.0685,-0.5097,-0.2346,False
C1,F6,-0.1349,-0.1219,0.0653,-0.2386,0.0218,True
C2,F1,-0.0139,-0.0301,0.1758,-0.4604,0.3321,True
C2,F2,0.169,0.1731,0.1778,-0.2934,0.4315,True
C2,F3,-0.0283,-0.0084,0.1825,-0.3451,0.4099,True
C2,F4,0.4835,0.433,0.2063,-0.0633,0.7297,True
C2,F5,0.1712,0.1937,0.2566,-0.3874,0.7041,True
C2,F6,1.132,1.1016,0.1298,0.7886,1.346,False
C3,F1,0.1473,0.142,0.0946,-0.0821,0.335,True
C3,F2,0.3325,0.307,0.21,-0.208,0.6079,True
C3,F3,0.1855,0.2219,0.117,-0.0092,0.4354,True
C3,F4,1.0604,1.0441,0.1013,0.8216,1.2371,False
C3,F5,0.2242,0.2304,0.2027,-0.195,0.6446,True
C3,F6,0.2137,0.1831,0.239,-0.4296,0.5567,True
C4,F1,0.8665,0.8413,0.0683,0.7066,0.9701,False
C4,F2,0.0202,-0.0097,0.2018,-0.3848,0.4151,True
C4,F3,-0.1376,-0.1797,0.1065,-0.396,0.0168,True
C4,F4,0.0821,0.1548,0.2452,-0.3109,0.6144,True
C4,F5,0.3825,0.3097,0.1752,-0.0497,0.6093,True
C4,F6,0.4948,0.5107,0.2156,0.0329,0.8175,False
C6,F1,0.7844,0.8236,0.0841,0.6513,0.9816,False
C6,F2,-0.0382,-0.1175,0.2667,-0.5761,0.3277,True
C6,F3,-0.2546,-0.2664,0.1417,-0.5484,-0.0075,False
C6,F4,0.5924,0.4178,0.3301,-0.4122,0.8133,True
C6,F5,-0.1306,-0.1812,0.2658,-0.7205,0.2601,True
C6,F6,0.0571,0.0375,0.296,-0.5156,0.5885,True
C8,F1,-0.9333,-0.9406,0.0257,-0.9919,-0.8899,False
C8,F2,-0.6965,-0.666,0.0555,-0.7501,-0.5399,False
C8,F3,-0.7399,-0.7457,0.0429,-0.8301,-0.6662,False
C8,F4,-0.1112,-0.0949,0.0506,-0.1956,0.0072,True
C8,F5,0.2131,0.1948,0.1706,-0.1502,0.4312,True
C8,F6,-0.2272,-0.2247,0.0594,-0.3299,-0.0797,False
C11,F1,-0.587,-0.6742,0.1202,-0.8718,-0.404,False
C11,F2,0.0317,0.0201,0.3104,-0.5483,0.6111,True
C11,F3,-0.2289,-0.2454,0.2379,-0.7073,0.2327,True
C11,F4,-0.0846,-0.1708,0.4254,-0.811,0.6039,True
C11,F5,0.0493,0.0365,0.3559,-0.604,0.7295,True
C11,F6,0.1833,0.2345,0.3531,-0.7362,0.7262,True
C12,F1,-0.3831,-0.374,0.0533,-0.4753,-0.26,False
C12,F2,-0.5532,-0.5511,0.0418,-0.6294,-0.4611,False
C12,F3,0.9884,0.9878,0.0344,0.9188,1.0551,False
C12,F4,-0.3098,-0.2869,0.0483,-0.3716,-0.1811,False
C12,F5,-0.7296,-0.7306,0.0575,-0.8286,-0.5935,False
C12,F6,-0.0398,-0.0488,0.0559,-0.1708,0.0518,True
C13,F1,-0.0987,-0.1053,0.0767,-0.2477,0.0488,True
C13,F2,0.8023,0.7584,0.121,0.3997,0.9211,False
C13,F3,0.139,0.1721,0.1196,-0.0592,0.3588,True
C13,F4,-0.8348,-0.8101,0.1532,-1.1183,-0.4938,False
C13,F5,0.4554,0.4739,0.1313,0.1914,0.7541,False
C13,F6,-0.3066,-0.3043,0.1436,-0.5428,0.0127,True
C14,F1,-0.1404,-0.1637,0.188,-0.4844,0.1812,True
C14,F2,0.0141,0.0504,0.2489,-0.5343,0.4915,True
C14,F3,0.0986,0.0922,0.1828,-0.2227,0.4324,True
C14,F4,0.0246,-0.0246,0.2537,-0.5848,0.4345,True
C14,F5,1.1038,1.0261,0.1194,0.7135,1.1808,False
C14,F6,0.0934,0.0969,0.24,-0.4267,0.5454,True
C15,F1,0.0155,-0.0244,0.1074,-0.218,0.1448,True
C15,F2,0.8422,0.8343,0.102,0.5775,0.9972,False
C15,F3,0.1456,0.1729,0.1062,-0.0211,0.3693,True
C15,F4,0.334,0.3101,0.2492,-0.2586,0.8252,True
C15,F5,0.1862,0.1417,0.1768,-0.2621,0.4485,True
C15,F6,-0.7532,-0.6967,0.1299,-0.9502,-0.4348,False
C16,F1,0.0457,0.0163,0.0775,-0.155,0.1509,True
C16,F2,0.1221,0.2066,0.1501,-0.0736,0.5394,True
C16,F3,1.0938,1.0775,0.0638,0.9175,1.1676,False
C16,F4,0.1096,0.0943,0.2133,-0.3858,0.4464,True
C16,F5,0.2267,0.2018,0.1633,-0.2078,0.4419,True
C16,F6,-0.099,-0.1014,0.2282,-0.4739,0.4371,True
C17,F1,-0.1349,-0.1464,0.1034,-0.3521,0.0343,True
C17,F2,1.1083,1.0779,0.0862,0.8534,1.1918,False
C17,F3,-0.0475,-0.0375,0.1104,-0.242,0.1926,True
C17,F4,0.1077,0.1173,0.2102,-0.3183,0.5589,True
C17,F5,-0.0355,-0.0088,0.1729,-0.3858,0.3378,True
C17,F6,0.209,0.1548,0.2528,-0.4798,0.5208,True
