,F1,F2,F3,F4,F5,F6
C1,-0.07903251953802873,-0.0838195594814761,-0.145885256303002,0.49640012895013497,-0.05841975451141212,-0.11594475024913847
C2,-0.05940515648222827,0.8986785573660673,-0.08317847644162318,-0.038149092843395696,0.061534922110817326,0.07126138730359957
C3,0.16030016160152027,0.4712476419416445,0.15032542149867603,0.18474296524278566,0.02427755648729455,-0.16549151082064817
C4,-0.11048724562327086,0.3782986908449586,0.031785671651765525,0.4893037182620266,0.24372824321251765,0.044691807413127844
C6,-0.014319534314301717,0.13543427598764396,0.11641084364066671,0.7666877652890793,-0.10422583644928798,0.06758693290283534
C8,-0.13565148266368407,-0.12378384115843029,-0.31087093749735356,-0.10999024930134847,0.09624525802992992,0.22620575376764543
C11,0.039719402897148426,-0.010647919892633676,-0.08224816322948385,-0.001019754702730808,-0.0388272678921628,1.000037232534847
C12,-0.2811205438941628,-0.13665639639553967,0.356176722946712,-0.25482664740428784,-0.30937123643744685,0.07064077445274128
C13,0.46740038184237037,-0.18626235234092722,0.043509509955115856,-0.13211225401230792,0.26954119142958116,0.1371289673052183
C14,0.005177357038144002,0.09908385142113035,0.08522090320074306,-0.09143219979941854,0.9352613821896864,-0.018736955991254044
C15,0.649943605775213,-0.04808650029345083,0.14021562592561065,0.006461807067317016,0.00021538515420895478,-0.11427322886269826
C16,0.09967801336971464,-0.004243452760375322,0.9740363802249848,-0.06925713826261935,0.20094701598953704,-0.045119459257231556
C17,0.7942825082071133,0.2674957715552617,-0.04928658060315306,-0.11421471300012881,-0.10222023236516226,0.062140515341718695
