Hero,Original Ability,Bootstrap Mean,Bootstrap SD,CI 2.5%,CI 97.5%
Dionysus,0.7767,0.9396,0.1296,0.6835,1.1926
Yudhishthira,0.7767,0.9396,0.1296,0.6835,1.1926
Zeus,0.6523,0.4999,0.3534,-0.4571,0.9868
Nezha,0.6523,0.7335,0.2408,0.1504,1.0707
Krishna,0.6477,0.531,0.2498,-0.138,0.8545
Perseus,0.5311,0.3574,0.2483,-0.2622,0.7208
Fionn mac Cumhaill,0.5311,0.1874,0.3947,-0.7533,0.7084
Arthur,0.5311,0.04,0.4117,-0.7291,0.6354
Pelops,0.4879,0.1852,0.3339,-0.6316,0.6349
Jason,0.4454,0.3616,0.2309,-0.238,0.689
Romulus,0.4454,0.3616,0.2309,-0.238,0.689
Aeneas,0.4222,-0.2154,0.4408,-0.9772,0.4805
Rama,0.4222,-0.2154,0.4408,-0.9772,0.4805
Bellerophon,0.3857,-0.0168,0.5834,-1.1547,0.8113
Cúchulainn,0.3818,0.0459,0.3022,-0.7104,0.4743
Heracles,0.3775,0.4899,0.2489,-0.0765,0.8807
Karna,0.3422,0.2064,0.2331,-0.3567,0.5687
Maui,0.3422,0.2064,0.2331,-0.3567,0.5687
Achilles,0.3206,-0.3276,0.393,-1.0358,0.3144
Oedipus,0.3203,0.1494,0.5494,-0.9155,0.9727
Asclepius,0.279,0.1434,0.3222,-0.6905,0.6368
Sun Wukong,0.1808,-0.0958,0.6076,-1.4409,0.718
Thánh Gióng,-0.0319,-0.2305,0.4332,-1.0025,0.5983
Gilgamesh (Hel),-0.104,-0.305,0.5087,-1.3948,0.378
Theseus,-0.1175,0.2487,0.5539,-0.8452,0.9825
Siegfried,-0.1835,-0.0247,0.5039,-0.9733,0.6951
Cadmus,-0.2157,-0.9164,0.5512,-1.8543,0.0353
Nyikang,-0.2942,-1.0852,0.618,-2.0,-0.0394
Moses,-0.8123,0.1761,0.6423,-0.9504,1.0106
Watu Gunung,-0.9838,-0.366,0.5626,-1.4272,0.6959
Lleu Llaw Gyffes,-1.0192,-0.6474,0.5377,-1.5737,0.5644
Mwindo,-1.066,-0.3837,0.6082,-1.38,0.5495
Fereydun,-1.3601,-0.8302,0.5446,-1.6852,0.1797
Horus,-1.514,-0.9054,0.6706,-1.8551,0.2148
Rostam,-1.5249,-1.3009,0.4096,-1.9409,-0.372
Apollo,-1.5667,-0.9883,0.6757,-1.9165,0.1388
