Hero,Original Ability,Bootstrap Mean,Bootstrap SD,CI 2.5%,CI 97.5%
Rostam,1.0253,0.6645,0.4951,-0.3754,1.4344
Nyikang,0.9649,0.09,0.7612,-1.3631,1.2051
Cadmus,0.6429,-0.2373,0.6915,-1.5157,0.9077
Fereydun,0.263,-0.103,0.5703,-1.2476,0.7993
Apollo,-0.2795,-0.0406,0.7762,-1.3755,1.2365
Lleu Llaw Gyffes,-0.2857,-0.6224,0.4466,-1.5398,0.122
Horus,-0.2878,-0.1511,0.7491,-1.4546,1.0924
Achilles,-0.5137,-0.8354,0.4523,-1.6973,0.0395
Rama,-0.5217,-0.9265,0.4457,-1.7888,-0.0805
Aeneas,-0.5217,-0.9265,0.4457,-1.7888,-0.0805
Oedipus,-0.591,-1.0859,0.4437,-1.9124,-0.3687
Watu Gunung,-0.6683,-0.8739,0.4232,-1.645,-0.0736
Bellerophon,-0.6788,-0.9238,0.399,-1.6717,-0.1988
Arthur,-0.7068,-1.1165,0.3772,-1.8754,-0.4187
Mwindo,-0.7107,-0.7816,0.5068,-1.6689,0.1586
Cúchulainn,-0.8024,-1.0062,0.3546,-1.7048,-0.3804
Pelops,-0.8102,-1.0973,0.3469,-1.7887,-0.4949
Gilgamesh (Hel),-0.8432,-0.8837,0.4748,-1.6637,0.1596
Siegfried,-0.8491,-1.0099,0.4147,-1.7628,-0.2138
Sun Wukong,-0.8778,-1.1853,0.4052,-1.8389,-0.3663
Fionn mac Cumhaill,-0.8962,-1.1782,0.4274,-2.0036,-0.2727
Thánh Gióng,-0.9022,-0.9935,0.3228,-1.6555,-0.3843
Moses,-1.0037,-1.1542,0.4217,-1.9165,-0.354
Perseus,-1.0688,-1.2766,0.3442,-1.9531,-0.6023
Krishna,-1.0766,-1.3709,0.3421,-2.0657,-0.7107
Theseus,-1.0954,-1.1783,0.3517,-1.8256,-0.4962
Zeus,-1.1419,-1.3479,0.3536,-2.0451,-0.6022
Nezha,-1.3135,-1.4476,0.2754,-2.0096,-0.9534
Yudhishthira,-1.3212,-1.5444,0.2727,-2.1218,-1.0662
Dionysus,-1.3212,-1.5444,0.2727,-2.1218,-1.0662
Karna,-1.3628,-1.4372,0.3026,-2.0015,-0.8122
Maui,-1.3628,-1.4372,0.3026,-2.0015,-0.8122
Jason,-1.3705,-1.5337,0.3004,-2.107,-0.9036
Romulus,-1.3705,-1.5337,0.3004,-2.107,-0.9036
Asclepius,-1.4306,-1.4282,0.3166,-1.9923,-0.6952
Heracles,-1.6108,-1.6263,0.2251,-2.071,-1.1663
