Item,Parameter,Original,Bootstrap Mean,Bootstrap SD,CI 2.5%,CI 97.5%,Covers Zero
C1,a (Discrimination),0.6312,0.7648,0.6384,0.3945,2.4113,False
C2,a (Discrimination),0.7908,1.5732,1.5656,0.263,5.0,False
C3,a (Discrimination),0.808,1.931,1.7095,0.2482,5.0,False
C4,a (Discrimination),0.2,1.469,1.8562,0.2,5.0,False
C6,a (Discrimination),0.2777,0.9619,1.2369,0.2,5.0,False
C8,a (Discrimination),0.4937,0.501,0.1095,0.3169,0.6312,False
C11,a (Discrimination),0.2,0.3767,0.4596,0.2,1.5134,False
C12,a (Discrimination),0.3562,0.3826,0.1049,0.2379,0.6312,False
C13,a (Discrimination),1.2434,1.5947,1.627,0.2187,5.0,False
C14,a (Discrimination),0.2,1.0447,1.2317,0.2,5.0,False
C15,a (Discrimination),1.892,1.9904,1.7652,0.2187,5.0,False
C16,a (Discrimination),0.2076,0.9832,1.2003,0.2,5.0,False
C17,a (Discrimination),5.0,2.3666,2.0297,0.2,5.0,False
C1,b (Difficulty),-5.9222,-5.365,1.1491,-5.9557,-2.1596,False
C2,b (Difficulty),-2.9194,-3.4516,1.8927,-5.9641,-1.0278,False
C3,b (Difficulty),-2.5295,-2.8208,1.8782,-5.9712,-0.8317,False
C4,b (Difficulty),-4.1443,-2.4172,1.9231,-5.8259,-0.2253,False
C6,b (Difficulty),-5.8882,-4.0997,2.0657,-5.9746,-0.8203,False
C8,b (Difficulty),-5.954,-5.9169,0.2145,-5.9723,-5.8701,False
C11,b (Difficulty),-1.6993,-1.2701,1.4889,-4.3817,1.6991,True
C12,b (Difficulty),-5.9746,-5.8972,0.1562,-5.9746,-5.7872,False
C13,b (Difficulty),-1.8527,-3.5187,2.1504,-5.9745,-0.9154,False
C14,b (Difficulty),-4.1443,-2.1584,1.6999,-5.8021,-0.3011,False
C15,b (Difficulty),-1.3137,-2.8423,2.0903,-5.9716,-0.7231,False
C16,b (Difficulty),2.2006,1.1619,1.3659,-0.662,4.8224,True
C17,b (Difficulty),-0.8123,-2.1698,1.8017,-5.8882,-0.54,False
