Item,Parameter,Original,Bootstrap Mean,Bootstrap SD,CI 2.5%,CI 97.5%,Covers Zero
C1,a (Discrimination),0.6312,0.7582,0.5947,0.4151,2.2587,False
C2,a (Discrimination),0.7908,1.6878,1.5877,0.2777,5.0,False
C3,a (Discrimination),0.808,2.1307,1.7933,0.2482,5.0,False
C4,a (Discrimination),0.2,1.6634,1.8871,0.2,5.0,False
C6,a (Discrimination),0.2777,1.0027,1.2442,0.2,5.0,False
C8,a (Discrimination),0.4937,0.5079,0.1709,0.3169,0.6312,False
C11,a (Discrimination),0.2,0.4086,0.5571,0.2,1.5374,False
C12,a (Discrimination),0.3562,0.3868,0.1085,0.2187,0.6312,False
C13,a (Discrimination),1.2434,1.4958,1.6233,0.2187,5.0,False
C14,a (Discrimination),0.2,1.0711,1.2391,0.2,5.0,False
C15,a (Discrimination),1.892,1.8374,1.7524,0.2,5.0,False
C16,a (Discrimination),0.2076,0.9906,1.1502,0.2,5.0,False
C17,a (Discrimination),5.0,2.1309,1.9693,0.2,5.0,False
C1,b (Difficulty),-5.9222,-5.3552,1.1475,-5.9557,-2.1521,False
C2,b (Difficulty),-2.9194,-3.2731,1.885,-5.9745,-0.9392,False
C3,b (Difficulty),-2.5295,-2.7588,1.932,-5.9745,-0.8123,False
C4,b (Difficulty),-4.1443,-2.2356,1.9501,-5.8021,-0.1483,False
C6,b (Difficulty),-5.8882,-3.9104,2.1045,-5.9746,-0.8123,False
C8,b (Difficulty),-5.954,-5.8966,0.3156,-5.9745,-5.8561,False
C11,b (Difficulty),-1.6993,-1.3679,1.5046,-4.8226,1.1269,True
C12,b (Difficulty),-5.9746,-5.8905,0.2406,-5.9746,-5.772,False
C13,b (Difficulty),-1.8527,-3.7285,2.1333,-5.9746,-0.8848,False
C14,b (Difficulty),-4.1443,-2.2268,1.7952,-5.8021,-0.2521,False
C15,b (Difficulty),-1.3137,-3.0336,2.1307,-5.9745,-0.7164,False
C16,b (Difficulty),2.2006,1.1025,1.3244,-0.5618,4.8224,True
C17,b (Difficulty),-0.8123,-2.4496,1.9879,-5.9471,-0.5297,False
