Distribution,k (modes),h_k (critical bandwidth),p-value,GMM AIC,GMM BIC,BGMM Lower Bound,BGMM Effective Components
HIST rates,1,0.153698,0.2252,3.5355,5.7176,16.3562,1
HIST rates,2,0.075872,0.5475,4.4076,9.8628,21.5475,1
HIST rates,3,0.062656,0.3003,-13.0545,-4.3262,26.2946,1
HIST rates,4,0.061187,0.031,-10.3787,1.6228,31.1379,1
MYTH rates,1,0.068354,0.4845,-20.1086,-17.9265,28.7152,1
MYTH rates,2,0.028029,0.969,-22.2473,-16.7921,34.4439,1
MYTH rates,3,0.024597,0.8308,-17.7183,-8.99,39.7283,1
MYTH rates,4,0.024597,0.3784,-24.1049,-12.1035,45.109,1
MYTH − HIST differences,1,0.112783,0.5215,2.481,4.6631,16.9074,1
MYTH − HIST differences,2,0.072641,0.6206,3.767,9.2222,22.1227,1
MYTH − HIST differences,3,0.061172,0.3654,7.3532,16.0815,26.8937,1
MYTH − HIST differences,4,0.051137,0.2262,12.3772,24.3786,31.761,1
