Name,Ability (theta),Total Score
Yudhishthira,0.8974,14
Dionysus,0.8974,14
Krishna,0.7899,13
Nezha,0.7899,13
Moses,0.7802,13
Theseus,0.7503,13
Perseus,0.6904,12
Siegfried,0.6538,12
Zeus,0.633,13
Romulus,0.618,12
Jason,0.618,12
Heracles,0.558,12
Fionn mac Cumhaill,0.5456,12
Mwindo,0.5403,11
Maui,0.5318,11
Karna,0.5318,11
Oedipus,0.4303,13
Asclepius,0.3589,11
Gilgamesh (Hel),0.351,10
Pelops,0.3158,12
Horus,0.257,9
Cúchulainn,0.254,11
Fereydun,0.2065,10
Apollo,0.1998,8
Watu Gunung,0.1874,11
Arthur,-0.9116,11
Thánh Gióng,-0.9557,10
Rama,-0.986,10
Aeneas,-0.986,10
Achilles,-1.0166,9
Bellerophon,-1.0861,10
Lleu Llaw Gyffes,-1.165,9
Sun Wukong,-1.3505,10
Rostam,-1.4489,6
Cadmus,-1.46,8
Nyikang,-1.7929,7
