Item,Discrimination (a),Difficulty (b)
C1,1.5106721458338543,-3.0111534167714815
C2,1.3629064793478938,-1.978401878826835
C3,1.0154602360499059,-2.125678937142646
C4,4.99999651887442,-0.5400096282936695
C5,4.999996518874422,-0.5400096282936695
C6,1.146564101403835,-1.7334328057777868
C8,0.49369148053990053,-5.95561107776105
C11,0.2000034181083939,-1.69925010951541
C12,0.35620538953074143,-5.966032042243143
C13,0.31692775697711517,-5.862741327559075
C14,0.5229773471897476,-1.6663690933961135
C15,0.27764794757631467,-5.879344098190671
C16,0.2000034181083939,2.2822847608277237
C17,0.2187375466550695,-5.787646826109148
