,C1,C2,C3,C4,C5,C6,C8,C11,C12,C13,C14,C15,C16,C17
C1,0.0,-0.23968590688605257,-0.22887641555434457,-0.06689529841183926,-0.06689529841183925,0.2805077527809346,-0.024836907050412763,-0.15408648502021108,-0.0290649326041424,-0.05528320584702824,-0.1979797863217253,-0.07562473969325265,-0.24879858257940662,-0.09981085253951301
C2,-0.23968590688605257,0.0,0.2009564364821104,-0.27372041895093,-0.27372041895093013,-0.19214296400326375,-0.05179743346032911,0.05093818465952044,-0.06052452538691584,-0.12987555533886774,0.03904339755732923,-0.16468203209528057,-0.13815866289436204,0.26109632482339534
C3,-0.22887641555434457,0.2009564364821104,0.0,-0.351295744549654,-0.3512957445496541,0.06675888646492242,-0.07119269063334657,-0.2174850032555686,-0.08679866556737331,-0.15792860198430553,-0.023247427285013774,0.2861327231984414,0.13414858864673176,0.1780911033988558
C4,-0.06689529841183926,-0.27372041895093,-0.351295744549654,0.0,0.9999999999999998,-0.27655615088135477,-0.17870280834766566,-0.04300654469090201,-0.20064045599758015,-0.08170194268579847,-0.015309264350701832,-0.30416600915420167,-0.03723562452632123,-0.2924472070723139
C5,-0.06689529841183925,-0.27372041895093013,-0.3512957445496541,0.9999999999999998,0.0,-0.27655615088135443,-0.1787028083476657,-0.04300654469090222,-0.20064045599758018,-0.08170194268579857,-0.015309264350701905,-0.3041660091542018,-0.03723562452632113,-0.29244720707231414
C6,0.2805077527809346,-0.19214296400326375,0.06675888646492242,-0.27655615088135477,-0.27655615088135443,0.0,-0.07436106321205457,0.0597546714738918,-0.09096036011632747,-0.17628283207018322,-0.2975456017721464,0.01629241865482947,0.012823176930736374,-0.0796035456606739
C8,-0.024836907050412763,-0.05179743346032911,-0.07119269063334657,-0.17870280834766566,-0.1787028083476657,-0.07436106321205457,0.0,0.2960133605413418,-0.03590102296570707,-0.06533899491293199,0.1257075464699348,-0.07865167239246917,-0.29180788729320295,-0.11092147667981461
C11,-0.15408648502021108,0.05093818465952044,-0.2174850032555686,-0.04300654469090201,-0.04300654469090222,0.0597546714738918,0.2960133605413418,0.0,0.07916282589319718,0.15252243267136495,-0.09767657667346293,-0.07021597690578335,-0.14621240395078017,0.08769678955555532
C12,-0.0290649326041424,-0.06052452538691584,-0.08679866556737331,-0.20064045599758015,-0.20064045599758018,-0.09096036011632747,-0.03590102296570707,0.07916282589319718,0.0,-0.09971266233680894,-0.1939781930602801,-0.11728062495085834,0.29242822787079087,-0.16036760338043335
C13,-0.05528320584702824,-0.12987555533886774,-0.15792860198430553,-0.08170194268579847,-0.08170194268579857,-0.17628283207018322,-0.06533899491293199,0.15252243267136495,-0.09971266233680894,0.0,0.267276225621266,0.2651123435137039,0.15507357322041393,0.3694666087085214
C14,-0.1979797863217253,0.03904339755732923,-0.023247427285013774,-0.015309264350701832,-0.015309264350701905,-0.2975456017721464,0.1257075464699348,-0.09767657667346293,-0.1939781930602801,0.267276225621266,0.0,0.0328326952447342,0.26528421337559277,-0.07957600257806344
C15,-0.07562473969325265,-0.16468203209528057,0.2861327231984414,-0.30416600915420167,-0.3041660091542018,0.01629241865482947,-0.07865167239246917,-0.07021597690578335,-0.11728062495085834,0.2651123435137039,0.0328326952447342,0.0,0.2049286666899799,0.48207875992494187
C16,-0.24879858257940662,-0.13815866289436204,0.13414858864673176,-0.03723562452632123,-0.03723562452632113,0.012823176930736374,-0.29180788729320295,-0.14621240395078017,0.29242822787079087,0.15507357322041393,0.26528421337559277,0.2049286666899799,0.0,0.00974182595490871
C17,-0.09981085253951301,0.26109632482339534,0.1780911033988558,-0.2924472070723139,-0.29244720707231414,-0.0796035456606739,-0.11092147667981461,0.08769678955555532,-0.16036760338043335,0.3694666087085214,-0.07957600257806344,0.48207875992494187,0.00974182595490871,0.0
