,F1,F2,F3,F4,F5,F6
C1,0.0,0.0,0.0,0.0,0.0,-0.7563153728379054
C2,0.5602686462920582,0.0,0.0,0.0,0.4586666988365944,0.4792332313312684
C3,0.0,0.0,0.0,0.0,0.8212631913424846,0.0
C4,0.9525981860576103,0.0,0.0,0.0,0.0,0.0
C6,0.5659282195479376,0.0,0.0,0.0,0.0,0.0
C8,-0.6268125945537961,0.0,0.0,0.0,0.0,0.0
C11,0.0,0.0,0.0,0.0,0.0,0.5818338944931146
C12,0.0,-0.5168949248983302,-0.6113209475311195,0.0,0.0,0.0
C13,0.0,0.5099694554726631,0.0,0.0,-0.7880862074860762,0.0
C14,0.0,0.0,0.9590918498367784,0.0,0.0,0.0
C15,0.0,0.8494561823594468,0.0,0.0,0.0,0.0
C16,0.0,0.0,0.0,0.9677939008071548,0.0,0.0
C17,0.0,0.8241561691262186,0.0,0.0,0.0,0.0
