,F1,F2,F3,F4,F5,F6
C1,0.2597696425161275,-0.24419235485523386,-0.33466260555750366,-0.40649754816692146,-0.21104682558134374,-0.7563153728379054
C2,0.5602686462920582,-0.04275118016790247,0.17771123669174857,-0.1285740441317504,0.4586666988365944,0.4792332313312684
C3,0.3332543013263063,0.3607541630089478,0.15196891244336355,0.2726089956757255,0.8212631913424846,-0.016874162632421
C4,0.9525981860576103,-0.08938870717623566,0.24628080188472232,0.04790296164302507,0.09510603493365866,0.01443887947258109
C6,0.5659282195479376,0.07299526216022685,-0.1317429952581322,0.005997506690598618,0.4001091234302854,-0.15881938966637954
C8,-0.6268125945537961,-0.3339810493279967,0.4531279546313585,-0.4630729826540792,0.03721155140170263,-0.014036628445533569
C11,0.019062351371479668,0.00438091419491031,-0.050002870060733284,-0.06614375288777627,-0.15591917858308132,0.5818338944931146
C12,-0.41678010618143996,-0.5168949248983302,-0.6113209475311195,0.3394560928797654,-0.07794274274218059,0.2506081784910905
C13,-0.0645906738290328,0.5099694554726631,0.22689205005688073,0.23205840890423513,-0.7880862074860762,0.18142917368832076
C14,0.055081779377714295,0.0018501886579365152,0.9590918498367784,0.25489900154464923,-0.056609733425573024,0.12524246426107832
C15,-0.1524057394597065,0.8494561823594468,0.032148876939244835,0.3745474645143036,0.016968984285790828,-0.18403149480937386
C16,0.08469934576171606,0.15049138852970495,0.15971669176849826,0.9677939008071548,0.014968248955130475,-0.001289504135714207
C17,0.14707004302060875,0.8241561691262186,-0.017438599568358845,-0.027528837301868565,0.010587664510532405,0.4031315680798499
