,C1,C2,C3,C4,C6,C8,C11,C12,C13,C14,C15,C16,C17
C1,0.0,-0.05088408548845393,-0.06497195711737176,0.26009908546497956,0.38262102110968693,-0.01727189631241164,-0.14205053611873947,-0.03007004163492715,-0.0629307632255883,-0.10914852351078404,-0.06923668001546655,-0.21506197844969552,-0.09516907268408824
C2,-0.05088408548845393,0.0,0.3196378536506419,0.34031325231606097,0.0689751540554723,-0.06707157894829346,0.032486690129075645,-0.0926581599602039,-0.2755849956562505,0.13139905831745116,-0.39009045520200075,-0.12198702847223827,0.17019838057386674
C3,-0.06497195711737176,0.3196378536506419,0.0,0.2568938566673935,0.24876953630905213,-0.08236847986976428,-0.21968139364756645,-0.11033428573027312,-0.3489932210447448,0.06105082873955499,0.08472303083977464,0.12165567599126023,-0.25051392866788774
C4,0.26009908546497956,0.34031325231606097,0.2568938566673935,0.0,0.3505578695250985,-0.1473745149802351,0.04486565732512329,-0.21403937481321927,-0.11632234124567187,0.21140460625313512,-0.18761697385974774,0.026161092755837688,-0.14888436332464342
C6,0.38262102110968693,0.0689751540554723,0.24876953630905213,0.3505578695250985,0.0,-0.09302850663695003,0.07086185091325162,-0.13491469533644862,-0.2224725959727532,-0.13775209836963184,-0.02974496308444499,0.04389789865756816,-0.2023804259726141
C8,-0.01727189631241164,-0.06707157894829346,-0.08236847986976428,-0.1473745149802351,-0.09302850663695003,0.0,0.28924701349614873,-0.047616081994414396,-0.07597536838852877,0.10816940415169357,-0.07966288697654537,-0.3000905785221579,-0.11616832124477983
C11,-0.14205053611873947,0.032486690129075645,-0.21968139364756645,0.04486565732512329,0.07086185091325162,0.28924701349614873,0.0,0.0698778756613237,0.11760142857872488,-0.0799577932424002,-0.18303212749057232,-0.14877254603444823,-0.0002323138807234261
C12,-0.03007004163492715,-0.0926581599602039,-0.11033428573027312,-0.21403937481321927,-0.13491469533644862,-0.047616081994414396,0.0698778756613237,0.0,-0.09777499234818092,-0.21762461047294762,-0.09833549352842502,0.2863305603880358,-0.14643117347672327
C13,-0.0629307632255883,-0.2755849956562505,-0.3489932210447448,-0.11632234124567187,-0.2224725959727532,-0.07597536838852877,0.11760142857872488,-0.09777499234818092,0.0,0.24932489464057178,-0.05994647495478543,0.10651329309576911,-0.10699340934455975
C14,-0.10914852351078404,0.13139905831745116,0.06105082873955499,0.21140460625313512,-0.13775209836963184,0.10816940415169357,-0.0799577932424002,-0.21762461047294762,0.24932489464057178,0.0,-0.02354807539583545,0.2747691698371394,-0.2820429252011697
C15,-0.06923668001546655,-0.39009045520200075,0.08472303083977464,-0.18761697385974774,-0.02974496308444499,-0.07966288697654537,-0.18303212749057232,-0.09833549352842502,-0.05994647495478543,-0.02354807539583545,0.0,0.15414699840655233,-0.3905549086037999
C16,-0.21506197844969552,-0.12198702847223827,0.12165567599126023,0.026161092755837688,0.04389789865756816,-0.3000905785221579,-0.14877254603444823,0.2863305603880358,0.10651329309576911,0.2747691698371394,0.15414699840655233,0.0,-0.31930264255577295
C17,-0.09516907268408824,0.17019838057386674,-0.25051392866788774,-0.14888436332464342,-0.2023804259726141,-0.11616832124477983,-0.0002323138807234261,-0.14643117347672327,-0.10699340934455975,-0.2820429252011697,-0.3905549086037999,-0.31930264255577295,0.0
