,C1,C2,C3,C4,C6,C8,C11,C12,C13,C14,C15,C16,C17
C1,1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C2,-1.0,1.0,0.7217006471257245,0.7071067811865476,0.22717523812546545,-1.0,0.1480336462541286,-1.0,-1.0,0.354000710602453,-1.0,-0.19819622288508662,0.5238377792385498
C3,-1.0,0.7217006471257245,1.0,0.5224229817435159,0.534825774137412,-1.0,-0.4392520163998519,-1.0,-1.0,0.18967241201162005,0.534825774137412,0.3959504199387729,0.38268343236509
C4,0.0,0.7071067811865476,0.5224229817435159,1.0,0.6359108919731482,-1.0,0.08742572471696056,-1.0,-0.24824888326189923,0.36511421720768267,-0.3463354902793247,0.06046797069852325,-0.13720555096294706
C6,0.0,0.22717523812546545,0.534825774137412,0.6359108919731482,1.0,-1.0,0.15801754785294841,-1.0,-1.0,-0.3463354902793247,6.123233995736766e-17,0.11253918524088617,-0.16353553408571606
C8,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,0.3319870848689476,-1.0,-1.0,-1.0
C11,-1.0,0.1480336462541286,-0.4392520163998519,0.08742572471696056,0.15801754785294841,0.0,1.0,0.1480336462541286,0.3282836422592254,-0.12446928706444062,-0.1654620884025195,-0.21660732574284408,0.16945563537229505
C12,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1480336462541286,1.0,-1.0,-1.0,-1.0,0.0,-1.0
C13,-1.0,-1.0,-1.0,-0.24824888326189923,-1.0,-1.0,0.3282836422592254,-1.0,1.0,0.5224229817435159,0.534825774137412,0.3959504199387729,0.676133803864943
C14,-1.0,0.354000710602453,0.18967241201162005,0.36511421720768267,-0.3463354902793247,0.3319870848689476,-0.12446928706444062,-1.0,0.5224229817435159,1.0,0.06046797069852325,0.5113293522157465,-0.13720555096294706
C15,-1.0,-1.0,0.534825774137412,-0.3463354902793247,6.123233995736766e-17,-1.0,-0.1654620884025195,-1.0,0.534825774137412,0.06046797069852325,1.0,0.48624729218266044,0.7762305368216428
C16,-1.0,-0.19819622288508662,0.3959504199387729,0.06046797069852325,0.11253918524088617,-1.0,-0.21660732574284408,0.0,0.3959504199387729,0.5113293522157465,0.48624729218266044,1.0,0.02964388167004291
C17,-1.0,0.5238377792385498,0.38268343236509,-0.13720555096294706,-0.16353553408571606,-1.0,0.16945563537229505,-1.0,0.676133803864943,-0.13720555096294706,0.7762305368216428,0.02964388167004291,1.0
